FID,Gut_No_,Plot_No,Sector_No_,Node,Division,Village,Prabhag,Shape_Area,Shape_Leng,Lattitude,Longitude,Google Map Link 
1, , , , ,Division1,Pendhar,prabhag1,350.57332006,99.2358031576,19.0668262729,73.1022457746,"https://www.google.com/maps/search/?api=1&query=19.0668262729,73.1022457746"
2, , , , ,Division1,Pendhar,prabhag1,296.421799422,82.4880545781,19.0674581411,73.1037080639,"https://www.google.com/maps/search/?api=1&query=19.0674581411,73.1037080639"
3, , , , ,Division1,Pendhar,prabhag1,296.422476756,82.4881180144,19.0675784627,73.1039395217,"https://www.google.com/maps/search/?api=1&query=19.0675784627,73.1039395217"
4, , , , ,Division1,Pendhar,prabhag1,296.420741092,82.4879100569,19.0677084297,73.1041662961,"https://www.google.com/maps/search/?api=1&query=19.0677084297,73.1041662961"
5, , , , ,Division1,Pendhar,prabhag1,394.177746483,101.068873035,19.067862015,73.1045143263,"https://www.google.com/maps/search/?api=1&query=19.067862015,73.1045143263"
6, , , , ,Division1,Pendhar,prabhag1,1175.37911952,211.515951347,19.0670038245,73.1039832876,"https://www.google.com/maps/search/?api=1&query=19.0670038245,73.1039832876"
7, , , , ,Division1,Pendhar,prabhag1,551.487965358,119.01176545,19.0670652662,73.1043840377,"https://www.google.com/maps/search/?api=1&query=19.0670652662,73.1043840377"
8, , , , ,Division1,Pendhar,prabhag1,668.699487507,115.616057412,19.0673902795,73.1048387804,"https://www.google.com/maps/search/?api=1&query=19.0673902795,73.1048387804"
9, , , , ,Division1,Pendhar,prabhag1,277.962169701,78.7532206304,19.0676032909,73.1046734791,"https://www.google.com/maps/search/?api=1&query=19.0676032909,73.1046734791"
10, , , , ,Division1,Pendhar,prabhag1,1834.71410104,171.757241095,19.0680528824,73.1048761722,"https://www.google.com/maps/search/?api=1&query=19.0680528824,73.1048761722"
11, , , , ,Division1,Pendhar,prabhag1,164.996842383,69.203744857,19.0678154152,73.1051540787,"https://www.google.com/maps/search/?api=1&query=19.0678154152,73.1051540787"
12, , , , ,Division1,Pendhar,prabhag1,1545.00180448,157.267334384,19.0679761947,73.105526253,"https://www.google.com/maps/search/?api=1&query=19.0679761947,73.105526253"
13, , , , ,Division1,Pendhar,prabhag1,1250.14455499,141.822507005,19.0683073696,73.1052749845,"https://www.google.com/maps/search/?api=1&query=19.0683073696,73.1052749845"
14, , , , ,Division1,Pendhar,prabhag1,1380.03342663,148.620286201,19.0685625254,73.1057026138,"https://www.google.com/maps/search/?api=1&query=19.0685625254,73.1057026138"
15, , , , ,Division1,Pendhar,prabhag1,1255.3559992,141.733785878,19.0682350778,73.1059455228,"https://www.google.com/maps/search/?api=1&query=19.0682350778,73.1059455228"
16, , , , ,Division1,Pendhar,prabhag1,1393.75678651,149.398842721,19.0677237911,73.1063514025,"https://www.google.com/maps/search/?api=1&query=19.0677237911,73.1063514025"
17, , , , ,Division1,Pendhar,prabhag1,1854.68545064,172.581520107,19.0674644133,73.1059622026,"https://www.google.com/maps/search/?api=1&query=19.0674644133,73.1059622026"
18, , , , ,Division1,Pendhar,prabhag1,398.201087406,94.8890486697,19.0671590387,73.1057271482,"https://www.google.com/maps/search/?api=1&query=19.0671590387,73.1057271482"
19, , , , ,Division1,Pendhar,prabhag1,1700.89276294,165.079919271,19.067340746,73.1066294532,"https://www.google.com/maps/search/?api=1&query=19.067340746,73.1066294532"
20, , , , ,Division1,Pendhar,prabhag1,942.00161679,122.845283053,19.0669919871,73.1068562545,"https://www.google.com/maps/search/?api=1&query=19.0669919871,73.1068562545"
21, , , , ,Division1,Pendhar,prabhag1,577.942895217,107.313447877,19.066563402,73.1061371886,"https://www.google.com/maps/search/?api=1&query=19.066563402,73.1061371886"
22, , , , ,Division1,Pendhar,prabhag1,722.435873859,125.979899912,19.0665210789,73.1068520635,"https://www.google.com/maps/search/?api=1&query=19.0665210789,73.1068520635"
23, , , , ,Division1,Pendhar,prabhag1,91.5569828778,39.7137419088,19.0662109893,73.1075687966,"https://www.google.com/maps/search/?api=1&query=19.0662109893,73.1075687966"
24, , , , ,Division1,Pendhar,prabhag1,1589.50131011,159.979826516,19.0666141028,73.1077611666,"https://www.google.com/maps/search/?api=1&query=19.0666141028,73.1077611666"
25, , , , ,Division1,Pendhar,prabhag1,1634.81426784,161.743028769,19.0664479396,73.1082034665,"https://www.google.com/maps/search/?api=1&query=19.0664479396,73.1082034665"
26, , , , ,Division1,Pendhar,prabhag1,1102.2689456,196.676999603,19.0663000274,73.1087656845,"https://www.google.com/maps/search/?api=1&query=19.0663000274,73.1087656845"
27, , , , ,Division1,Pendhar,prabhag1,1538.71307341,157.101875841,19.0667299897,73.1087313108,"https://www.google.com/maps/search/?api=1&query=19.0667299897,73.1087313108"
28, , , , ,Division1,Pendhar,prabhag1,683.183191879,120.404272755,19.0670249113,73.1082758989,"https://www.google.com/maps/search/?api=1&query=19.0670249113,73.1082758989"
29, , , , ,Division1,Pendhar,prabhag1,1258.87069645,190.616113375,19.0673301143,73.1088251344,"https://www.google.com/maps/search/?api=1&query=19.0673301143,73.1088251344"
30, , , , ,Division1,Pendhar,prabhag1,792.20275757,140.918842548,19.067102239,73.1094600458,"https://www.google.com/maps/search/?api=1&query=19.067102239,73.1094600458"
31, , , , ,Division1,Pendhar,prabhag1,940.533621909,123.2054297,19.0667529663,73.109601565,"https://www.google.com/maps/search/?api=1&query=19.0667529663,73.109601565"
32, , , , ,Division1,Pendhar,prabhag1,425.56232194,92.1051874021,19.0667625946,73.1098125246,"https://www.google.com/maps/search/?api=1&query=19.0667625946,73.1098125246"
33, , , , ,Division1,Pendhar,prabhag1,729.795534749,108.144746711,19.066324722,73.1022294227,"https://www.google.com/maps/search/?api=1&query=19.066324722,73.1022294227"
34, , , , ,Division1,Pendhar,prabhag1,760.440077605,110.3680952,19.066302873,73.1025880019,"https://www.google.com/maps/search/?api=1&query=19.066302873,73.1025880019"
35, , , , ,Division1,Pendhar,prabhag1,655.512552248,102.414542513,19.066513949,73.1029099725,"https://www.google.com/maps/search/?api=1&query=19.066513949,73.1029099725"
36, , , , ,Division1,Pendhar,prabhag1,755.484481006,110.041388281,19.0668502787,73.1029819682,"https://www.google.com/maps/search/?api=1&query=19.0668502787,73.1029819682"
37, ,N/A,41,Kharghar,Division1,Pendhar,prabhag1,977.262790637,128.857020662,19.0632083131,73.0931261343,"https://www.google.com/maps/search/?api=1&query=19.0632083131,73.0931261343"
38, , , , ,Division1,Pendhar,prabhag1,297.158575376,89.9322605692,19.0733096369,73.1148274651,"https://www.google.com/maps/search/?api=1&query=19.0733096369,73.1148274651"
39, , , , ,Division1,Pendhar,prabhag1,255.429596945,86.9960423661,19.0727017383,73.1123354771,"https://www.google.com/maps/search/?api=1&query=19.0727017383,73.1123354771"
40, , , , ,Division1,Pendhar,prabhag1,219.589509511,78.1550454631,19.0725833073,73.1126385679,"https://www.google.com/maps/search/?api=1&query=19.0725833073,73.1126385679"
41, , , , ,Division1,Pendhar,prabhag1,38.0181012722,24.6692914223,19.072515157,73.1128246365,"https://www.google.com/maps/search/?api=1&query=19.072515157,73.1128246365"
42, , , , ,Division1,Pendhar,prabhag1,46448.5511694,5198.24576943,19.0731647237,73.111102937,"https://www.google.com/maps/search/?api=1&query=19.0731647237,73.111102937"
43, , , , ,Division1,Pendhar,prabhag1,88.8928587931,40.0891985814,19.0667223714,73.1021183067,"https://www.google.com/maps/search/?api=1&query=19.0667223714,73.1021183067"
44, , , , ,Division1,Pendhar,prabhag1,336.208695912,92.0967235119,19.0671985251,73.1053364761,"https://www.google.com/maps/search/?api=1&query=19.0671985251,73.1053364761"
45, , , , ,Division1,Pendhar,prabhag1,243.401190541,71.6304657515,19.067365672,73.1055511809,"https://www.google.com/maps/search/?api=1&query=19.067365672,73.1055511809"
46, , , , ,Division1,Pendhar,prabhag1,1111.44779217,133.581919526,19.066511617,73.1092780147,"https://www.google.com/maps/search/?api=1&query=19.066511617,73.1092780147"
47, , , , ,Division1,Pendhar,prabhag1,2515.53696205,319.318671829,19.0752339477,73.1078028178,"https://www.google.com/maps/search/?api=1&query=19.0752339477,73.1078028178"
