FID,Gut_No_,Plot_No,Sector_No_,Node,Division,Village,Prabhag,Shape_Leng,Shape_Area,Lattitude,Longitude,Google Map Link 
1, ,77,16 E,Kalamboli,Division2,Rodpali,Prabhag7,302.812944167,3218.8850885,19.0415089338,73.096751254,"https://www.google.com/maps/search/?api=1&query=19.0415089338,73.096751254"
2, ,77,16 E,Kalamboli,Division2,Rodpali,Prabhag7,285.710212776,2512.29282491,19.0419567141,73.0964310375,"https://www.google.com/maps/search/?api=1&query=19.0419567141,73.0964310375"
3, ,78,16 E,Kalamboli,Division2,Rodpali,Prabhag7,71.5378471415,239.718129536,19.0408654041,73.09661487,"https://www.google.com/maps/search/?api=1&query=19.0408654041,73.09661487"
4, ,78,16 E,Kalamboli,Division2,Rodpali,Prabhag7,69.2092040399,211.543159535,19.0408309747,73.0970149527,"https://www.google.com/maps/search/?api=1&query=19.0408309747,73.0970149527"
5, ,78,16 E,Kalamboli,Division2,Rodpali,Prabhag7,26.581640637,38.807091721,19.0406947368,73.0965632445,"https://www.google.com/maps/search/?api=1&query=19.0406947368,73.0965632445"
6, ,78,16 E,Kalamboli,Division2,Rodpali,Prabhag7,31.2881841346,53.3585110039,19.0407194263,73.0967016075,"https://www.google.com/maps/search/?api=1&query=19.0407194263,73.0967016075"
7,61, , , ,Division1,Turbhe,prabhag1,44.0243872319,120.93774896,19.1088768281,73.0947597015,"https://www.google.com/maps/search/?api=1&query=19.1088768281,73.0947597015"
8,2, , , ,Division1,Karavale Bk.,prabhag1,33.0590695103,53.4359395429,19.1052693972,73.1069315512,"https://www.google.com/maps/search/?api=1&query=19.1052693972,73.1069315512"
9,2, , , ,Division1,Karavale Bk.,prabhag1,19.6091612893,24.0150820441,19.105021382,73.1074633956,"https://www.google.com/maps/search/?api=1&query=19.105021382,73.1074633956"
10,50, , , ,Division1,Karavale Bk.,prabhag1,61.0327329154,194.97534939,19.1019674474,73.1090098847,"https://www.google.com/maps/search/?api=1&query=19.1019674474,73.1090098847"
11,45, , , ,Division1,Karavale Bk.,prabhag1,42.1359467638,102.301510403,19.1027311015,73.1104192175,"https://www.google.com/maps/search/?api=1&query=19.1027311015,73.1104192175"
12, 31, , , ,Division1,Karavale Bk.,prabhag1,17.1514602989,18.3855379948,19.1066030005,73.1160996202,"https://www.google.com/maps/search/?api=1&query=19.1066030005,73.1160996202"
13, ,132,23,Kamothe,Division3,Kamothe,prabhag 11,19.2085999995,20.1483317181,19.0153288475,73.1002769977,"https://www.google.com/maps/search/?api=1&query=19.0153288475,73.1002769977"
14, ,2,32,Kamothe,Division3,Kamothe,prabhag 13,103.959395381,646.897456899,19.0128558949,73.085784462,"https://www.google.com/maps/search/?api=1&query=19.0128558949,73.085784462"
15, ,2,32,Kamothe,Division3,Kamothe,prabhag 13,60.3806397494,172.122764589,19.0125664417,73.0860830448,"https://www.google.com/maps/search/?api=1&query=19.0125664417,73.0860830448"
16, , 100,47, Kamothe,Division3,Kamothe,prabhag 13,26.5770759875,41.895620167,19.0106427576,73.0793653915,"https://www.google.com/maps/search/?api=1&query=19.0106427576,73.0793653915"
17, ,1,50,Kamothe,Division3,Panvel_map,prabhag 14,42.5866297333,105.461851905,19.0060710135,73.0973768844,"https://www.google.com/maps/search/?api=1&query=19.0060710135,73.0973768844"
18, ,1,50,Kamothe,Division3,Panvel_map,prabhag 14,50.6226180214,145.154123701,19.006025341,73.09791248,"https://www.google.com/maps/search/?api=1&query=19.006025341,73.09791248"
19, ,28,17,New Panvel,Division3,Panvel_map,prabhag 14,54.3407735536,171.245553242,19.0050658722,73.1040050579,"https://www.google.com/maps/search/?api=1&query=19.0050658722,73.1040050579"
