FID,Gut_No_,Plot_No,Sector_No_,Node,Division,Village,Prabhag,Shape_Leng,Shape_Area,Lattitude,Longitude,Google Map Link 
1, , , ,,Division2,Rodpali,Prabhag7,53.8442124598,159.57843478,19.0447352291,73.1014680605,"https://www.google.com/maps/search/?api=1&query=19.0447352291,73.1014680605"
2, , , ,,Division3,Kalamboli,prabhag 11,41.9594700323,90.8229496026,19.0139357475,73.1040892875,"https://www.google.com/maps/search/?api=1&query=19.0139357475,73.1040892875"
3, , , ,,Division3,Kalamboli,prabhag 11,37.0357153822,70.2248177694,19.0138737717,73.1041864764,"https://www.google.com/maps/search/?api=1&query=19.0138737717,73.1041864764"
4, , , ,,Division3,Kamothe,prabhag 13,13.3071377364,11.0674831729,19.0107190319,73.0761464576,"https://www.google.com/maps/search/?api=1&query=19.0107190319,73.0761464576"
5, , , ,,Division3,Panvel_map,prabhag 14,21.3865873363,36.3051890224,18.9898970395,73.1062949274,"https://www.google.com/maps/search/?api=1&query=18.9898970395,73.1062949274"
6, , , ,,Division3,Panvel_map,prabhag 14,63.9646294359,221.739882379,18.9978557043,73.1065802701,"https://www.google.com/maps/search/?api=1&query=18.9978557043,73.1065802701"
7, , , ,,Division3,Panvel_map,prabhag 14,47.3732101672,140.148897514,18.997763063,73.1067932238,"https://www.google.com/maps/search/?api=1&query=18.997763063,73.1067932238"
8, , , ,,Division3,Panvel_map,prabhag 14,41.4365820273,103.396416376,18.9979360616,73.1068063292,"https://www.google.com/maps/search/?api=1&query=18.9979360616,73.1068063292"
9, , , ,,Division3,Panvel_map,prabhag 14,127.089583341,675.006268232,18.9968745678,73.1044474637,"https://www.google.com/maps/search/?api=1&query=18.9968745678,73.1044474637"
10, , , ,,Division3,Panvel_map,prabhag 14,99.7756127385,618.280397097,18.9965624274,73.1047446877,"https://www.google.com/maps/search/?api=1&query=18.9965624274,73.1047446877"
11, , , ,,Division3,Panvel_map,prabhag 14,27.4693980456,37.4952196067,18.992465799,73.1042367014,"https://www.google.com/maps/search/?api=1&query=18.992465799,73.1042367014"
12, , , ,,Division4,Panvel_map,prabhag 18,31.961849756,62.8874616323,18.9904243823,73.1072050107,"https://www.google.com/maps/search/?api=1&query=18.9904243823,73.1072050107"
13, , , ,,Division4,Panvel_map,prabhag 18,20.3233164306,22.9389957162,18.9900646404,73.1077411763,"https://www.google.com/maps/search/?api=1&query=18.9900646404,73.1077411763"
14, , , ,,Division4,Panvel_map,prabhag 18,52.3051388384,133.301937448,18.9899728813,73.1077325747,"https://www.google.com/maps/search/?api=1&query=18.9899728813,73.1077325747"
15, , , ,,Division4,Panvel_map,prabhag 18,97.4281202417,536.095709741,18.9934898449,73.1080406779,"https://www.google.com/maps/search/?api=1&query=18.9934898449,73.1080406779"
16, , , ,,Division4,Panvel_map,prabhag 18,110.620575768,710.382750541,18.9943318588,73.1164073692,"https://www.google.com/maps/search/?api=1&query=18.9943318588,73.1164073692"
17, , , ,,Division4,Panvel_map,prabhag 18,26.3485236183,43.2117734714,18.9942544946,73.1161914231,"https://www.google.com/maps/search/?api=1&query=18.9942544946,73.1161914231"
18, , , ,,Division4,Panvel_map,prabhag 18,26.7353569704,43.8232270481,18.9963290162,73.1114855151,"https://www.google.com/maps/search/?api=1&query=18.9963290162,73.1114855151"
19, , , ,,Division4,Panvel_map,prabhag 18,27.7673808344,48.1108602896,18.9962343594,73.1115017349,"https://www.google.com/maps/search/?api=1&query=18.9962343594,73.1115017349"
20, , , ,,Division4,Panvel_map,prabhag 18,69.9345923542,285.260445763,18.9976602344,73.1075105191,"https://www.google.com/maps/search/?api=1&query=18.9976602344,73.1075105191"
